(2024-06-02 10:12:36,907) [INFO] midifighterv3: init started ...
(2024-06-02 10:12:42,879) [INFO] selected track changed: A-Reverb
(2024-06-02 10:12:42,893) [INFO] selected track changed: B-Delay
(2024-06-02 10:12:42,912) [INFO] selected track changed: Main
(2024-06-02 10:12:43,119) [INFO] selected track changed: B-Delay
(2024-06-02 10:12:43,132) [INFO] selected track changed: A-Reverb
(2024-06-02 10:12:43,141) [INFO] selected track changed: 1-Audio
(2024-06-02 10:20:04,311) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:04,326) [INFO] selected track changed: 1-Audio
(2024-06-02 10:20:04,482) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:04,505) [INFO] selected track changed: 1-Audio
(2024-06-02 10:20:04,622) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:04,753) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:04,765) [INFO] selected track changed: Main
(2024-06-02 10:20:05,067) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:05,114) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:05,142) [INFO] selected track changed: 1-Audio
(2024-06-02 10:20:05,632) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:06,413) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:06,741) [INFO] selected track changed: Main
(2024-06-02 10:20:07,313) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:07,325) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:07,368) [INFO] selected track changed: 1-Audio
(2024-06-02 10:20:08,082) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:08,192) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:08,942) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:09,333) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:09,400) [INFO] selected track changed: Main
(2024-06-02 10:20:09,873) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:09,929) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:09,945) [INFO] selected track changed: 1-Audio
(2024-06-02 10:20:10,841) [INFO] selected track changed: A-Reverb
(2024-06-02 10:20:10,913) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:10,947) [INFO] selected track changed: Main
(2024-06-02 10:20:11,603) [INFO] selected track changed: B-Delay
(2024-06-02 10:20:11,715) [INFO] selected track changed: A-Reverb
